school,readingachieve,readingchange,writingachieve,writingchange,mathachieve,mathchange
686638,0.7,-8,0.57,-2,0.7,18
687677,0.71,10,0.48,-2,0.57,1
687936,0.47,-26,0.21,-66,0.53,-20
685186,0.81,2,0.69,-21,0.75,-10
723290,0.94,-1,0.88,-7,0.94,10
723169,0.5,-23,0.36,-31,0.46,-9
807796,0.7,9,0.5,11,0.7,9
798401,0.89,18,0.86,19,0.89,13
835358,0.86,3,0.76,1,0.76,-7
787124,0.82,3,0.57,-14,0.75,11
794708,0.44,-24,0.25,-43,0.19,-54
815985,0.83,4,0.56,-23,0.67,-1
860310,0.75,-8,0.67,17,0.83,33
735632,0.97,9,0.93,14,0.9,2
731385,0.87,10,0.81,2,0.68,-5
705047,0.96,2,0.98,-2,0.96,2
769765,0.94,-2,0.89,-5,0.87,-5
705390,0.91,-1,0.86,-5,0.8,-1
741671,0.94,12,0.9,-8,0.69,-6
703168,0.96,5,0.88,17,0.94,14
705055,0.85,-1,0.79,2,0.79,-1
864730,0.94,-4,0.92,-4,0.78,-12
701688,0.75,12,0.82,21,0.64,15
722901,1.0,5,0.94,-1,0.94,8
705136,0.97,6,0.9,-6,0.87,5
696005,0.81,-4,0.65,-26,0.66,-12
701670,0.89,-6,0.95,6,0.95,-5
865648,1.0,12,0.98,1,0.94,7
725536,0.91,6,0.84,6,0.75,-5
734314,0.92,5,0.81,-3,0.73,-6
753157,0.97,16,0.89,16,0.97,5
705420,0.88,16,0.76,-2,0.71,3
732397,0.9,2,0.82,-2,0.75,-6
735920,0.89,9,0.74,-9,0.81,-2
796656,0.86,-6,0.86,-14,0.76,-12
688762,0.96,1,0.89,-8,0.84,-3
705365,0.94,33,0.92,35,0.86,16
753203,0.67,0,0.54,-17,0.58,-9
793027,0.83,-12,0.73,-17,0.71,-9
701971,1.0,3,0.96,2,0.96,9
156159,0.87,-2,0.94,8,0.85,-4
703095,0.96,14,0.94,12,0.94,23
752625,0.91,-4,0.86,-11,0.8,-17
860573,0.65,-23,0.71,-17,0.47,-41
709387,0.87,25,0.78,30,0.76,34
861871,0.94,6,0.82,5,0.76,-6
733402,0.95,-1,0.9,-8,0.88,4
730980,0.8,-20,0.6,-40,0.7,-30
709646,0.92,-2,0.68,-20,0.88,-12
740845,0.95,3,0.84,-16,0.63,-22
861480,0.89,3,0.86,1,0.8,6
703753,0.93,1,0.85,-12,0.8,-15
725633,1.0,10,0.83,-5,0.81,-5
786634,0.95,7,0.7,-14,0.72,-9
871029,0.95,15,0.83,11,0.88,8
774379,0.74,17,0.7,19,0.7,33
809390,0.94,2,0.65,-35,0.82,7
707449,0.93,12,0.66,8,0.72,7
737070,0.85,-10,0.77,-18,0.69,-1
738506,0.79,-21,0.93,20,0.64,-27
774480,0.85,-1,0.69,5,0.92,-8
775169,0.61,9,0.5,6,0.61,25
786470,0.9,12,0.78,0,0.68,-15
787329,0.83,10,0.61,-12,0.44,8
761125,0.92,0,0.75,-9,1.0,8
806625,0.88,-12,0.62,-38,0.75,-25
808180,0.67,-4,0.38,-33,0.48,19
705403,0.76,23,0.76,16,0.76,-11
846449,0.92,-8,0.92,-8,0.88,-3
862886,0.88,6,0.74,2,0.56,-19
811173,0.6,-18,0.53,-14,0.47,-47
789607,0.95,-5,0.89,-7,0.84,-12
705970,0.98,-2,0.94,5,1.0,0
707880,0.92,4,0.88,7,0.82,-1
708054,0.86,-1,0.8,-4,0.71,-3
732400,0.96,8,0.98,12,0.83,-3
797359,1.0,7,1.0,0,1.0,7
705349,0.6,-8,0.47,-15,0.53,-25
774901,0.92,-5,0.79,-21,0.88,3
787515,0.74,1,0.71,8,0.61,8
804150,0.87,9,0.82,4,0.63,-4
715539,0.83,3,0.64,-19,0.42,-29
832626,0.79,-7,0.76,-12,0.69,-19
863009,0.87,37,0.6,-11,0.53,-18
845639,0.83,10,0.75,-12,0.58,-9
855375,0.7,-9,0.51,-9,0.68,16
861170,0.62,-6,0.38,-30,0.57,-20
730327,0.82,2,0.86,19,0.86,8
822540,0.83,13,0.74,12,0.87,38
863394,0.88,1,0.88,-8,0.72,-17
863726,0.92,42,0.92,30,0.83,8
728659,0.56,14,0.69,36,0.44,11
701777,0.68,-13,0.42,-33,0.61,-11
761907,0.98,3,1.0,5,0.93,7
488291,0.8,9,0.74,16,0.74,24
412597,0.93,15,0.82,-4,0.85,10
230,0.86,14,0.75,14,0.83,-6
79839,0.78,-3,0.78,-10,0.87,25
417726,0.95,2,0.9,-6,0.77,-14
419796,0.94,4,0.71,-17,0.84,4
204986,0.84,17,0.71,24,0.56,3
194239,0.97,6,0.85,-11,0.74,-4
287180,0.92,-1,0.88,-3,0.88,-5
196502,0.81,10,0.45,-26,0.77,1
156108,0.84,-1,0.76,-14,0.69,-11
439568,0.84,23,0.47,-5,0.79,-21
540030,0.95,-2,0.89,-7,0.84,-4
384771,0.9,-2,0.84,-8,0.89,-1
164852,0.75,4,0.72,12,0.48,-16
247352,0.93,0,0.87,-6,0.85,-4
156051,0.57,-3,0.33,-7,0.29,9
327445,0.91,2,0.79,-17,0.78,-6
530457,0.6,-7,0.4,-18,0.4,-22
250627,0.79,-10,0.5,-36,0.44,-31
383392,0.94,6,0.85,5,0.83,-3
195774,0.67,7,0.77,22,0.69,35
383376,1.0,0,0.82,-18,0.91,8
559458,0.85,5,0.6,-11,0.65,-15
590,0.9,2,0.97,15,0.81,5
505005,1.0,15,1.0,19,0.93,24
70661,0.82,-8,0.59,-21,0.59,-21
73784,1.0,30,0.85,5,0.77,-3
84700,0.89,7,0.89,3,0.84,-2
94978,0.92,0,0.92,1,0.81,-2
105767,0.9,14,0.86,10,0.86,14
121754,0.62,-34,0.75,-16,0.5,-20
235750,0.98,11,0.91,2,0.89,8
131890,0.91,2,0.89,2,0.89,4
139823,0.83,2,0.79,-6,0.58,-7
1793,0.82,7,0.86,14,0.75,16
156418,1.0,0,1.0,0,1.0,16
165956,0.83,-3,0.9,4,0.72,-5
195596,0.72,-18,0.84,-6,0.72,-8
197416,0.69,-25,0.72,-28,0.62,-26
326785,0.58,-25,0.6,-23,0.52,-24
207810,0.93,3,0.93,-7,0.64,-21
210358,0.92,13,0.79,4,0.7,14
218600,0.73,-22,0.73,-22,0.6,-11
201138,0.9,-10,0.88,-12,0.8,-10
221856,0.98,7,0.88,3,0.9,5
225754,0.89,0,0.79,-5,0.79,-5
226556,0.79,-17,0.75,-9,0.62,-6
228010,0.88,25,0.93,26,0.79,20
229520,0.76,-11,0.72,-18,0.68,-16
294037,0.85,8,0.84,6,0.58,-17
254223,0.67,-16,0.59,-35,0.63,-15
281000,0.78,3,0.78,3,0.61,15
281654,0.82,-1,0.59,-30,0.45,-36
264237,0.96,6,0.92,5,0.81,-2
1649,0.88,8,0.9,12,0.65,-2
283991,0.86,2,0.86,6,0.71,9
287660,0.82,-15,0.92,-5,0.72,-5
304921,0.82,14,0.82,9,0.82,14
313114,0.73,-11,0.7,-14,0.37,-35
318086,0.91,6,0.8,-5,0.71,-9
344834,0.8,-8,0.72,-22,0.64,-5
352500,0.74,-10,0.72,-23,0.72,-4
382868,0.83,-4,0.83,-11,0.9,3
414514,0.97,6,0.97,3,0.97,16
414905,0.74,-13,0.68,-19,0.63,-17
417521,0.95,-5,0.95,1,0.91,-3
419320,0.93,32,0.9,19,0.86,30
433357,0.82,-12,1.0,17,0.82,10
436747,0.85,3,0.64,-12,0.79,13
557773,0.82,17,0.82,26,0.82,26
514780,0.88,-3,0.95,1,0.83,-11
449350,0.92,45,0.92,54,0.69,38
451568,0.79,-16,0.93,3,0.82,2
452084,0.94,13,0.88,2,0.84,9
455989,0.88,-9,0.9,-7,0.88,-7
455075,0.85,-7,0.93,1,0.78,-10
455202,0.91,26,0.91,26,0.91,26
457540,0.86,12,0.91,21,0.8,10
458066,0.83,16,0.83,7,0.72,5
461415,0.82,16,0.85,6,0.59,7
483117,0.83,-6,0.9,-1,0.73,-11
485365,0.72,23,0.69,3,0.53,-8
491861,0.63,-7,0.58,-27,0.63,8
505382,0.79,-1,0.89,5,0.77,6
514748,0.83,22,0.61,4,0.56,17
517453,0.77,-20,0.69,-25,0.57,-24
117722,0.75,-2,0.82,5,0.75,7
529648,1.0,3,0.97,0,0.93,-1
535419,0.84,3,0.84,9,0.84,9
536636,0.95,4,0.86,9,0.83,0
254519,0.97,9,0.98,16,0.87,7
569348,0.74,7,0.59,-8,0.67,23
598984,1.0,10,0.88,2,0.81,-5
602493,0.94,3,0.94,3,0.78,-4
607436,0.81,-1,0.62,-24,0.69,-10
510530,0.88,14,0.96,18,0.72,24
581178,0.73,-12,0.77,-1,0.73,14
618870,0.8,-12,0.8,-20,0.8,-3
45578,0.58,-5,0.38,-25,0.38,-21
97969,0.78,-9,0.69,-8,0.47,-26
114073,0.15,-26,0.18,-20,0.1,-31
181552,0.41,-28,0.26,-36,0.3,-24
193771,0.29,-18,0.29,-30,0.14,-21
221554,0.62,-26,0.67,-14,0.62,0
76104,0.27,0,0.14,7,0.05,-22
384224,0.5,7,0.46,-5,0.43,5
445061,0.4,9,0.2,-11,0.37,4
502030,0.36,10,0.18,-19,0.0,-26
270291,0.46,-19,0.34,-11,0.38,-17
361747,0.59,1,0.65,1,0.55,8
685461,0.76,-12,0.72,-16,0.48,-30
689556,0.78,-4,0.81,-8,0.59,-2
682438,0.88,12,0.72,11,0.75,23
693715,0.8,11,0.63,-5,0.61,7
697095,0.65,-21,0.5,-41,0.46,-27
701807,0.86,7,0.82,-7,0.68,-16
703222,0.91,-1,0.83,-3,0.73,-9
696307,0.79,-4,0.76,3,0.7,23
706337,0.7,-14,0.7,-8,0.52,-16
857238,0.74,-7,0.76,-5,0.63,-4
730441,0.73,-2,0.65,-13,0.56,-2
708038,0.78,4,0.61,-5,0.53,-7
708070,0.89,2,0.74,-8,0.63,-1
708143,0.68,-10,0.68,-14,0.58,3
714909,0.88,7,0.88,4,0.62,-7
716405,0.73,-13,0.61,-25,0.52,-24
819219,0.91,11,0.82,5,0.79,9
726494,0.73,-10,0.75,2,0.57,1
730742,0.64,-17,0.58,-15,0.42,-34
731447,0.68,4,0.64,2,0.42,-13
742171,0.66,1,0.44,-32,0.28,-13
742821,0.86,-9,0.93,7,0.86,24
782606,0.8,2,0.8,2,0.6,-18
747440,0.71,-17,0.76,11,0.52,-1
749087,0.76,9,0.65,10,0.32,-10
747882,0.79,-11,0.83,-5,0.59,-7
750042,0.77,2,0.62,-13,0.38,-22
752029,0.88,13,0.88,20,0.65,6
867942,0.6,-31,0.48,-48,0.28,-24
759481,0.78,-12,0.74,-16,0.74,-3
770434,0.86,1,0.92,4,0.86,15
766364,0.91,-2,0.92,-5,0.82,-6
759562,0.61,-11,0.52,-17,0.33,-23
772496,0.78,6,0.84,10,0.6,11
770620,0.85,4,0.89,12,0.45,-9
771759,0.59,-5,0.65,9,0.43,-8
773530,0.68,-5,0.62,-7,0.44,-10
776092,0.74,-11,0.78,-10,0.37,-17
776742,0.72,4,0.62,-2,0.43,-12
777528,0.81,6,0.81,1,0.44,-11
780804,0.64,-26,0.68,-18,0.45,-24
781401,0.81,11,0.83,9,0.67,19
781819,0.62,-14,0.59,-11,0.44,1
783870,0.89,-6,0.85,-10,0.62,-19
784290,0.82,-4,0.74,-5,0.79,-3
785393,0.85,-9,0.82,-10,0.67,-16
785997,0.77,-7,0.73,-11,0.82,10
786730,0.94,5,0.9,1,0.74,-15
690031,0.93,-2,0.9,5,0.63,8
787647,0.95,8,1.0,3,1.0,15
789143,0.93,5,0.81,-6,0.54,-15
789763,0.76,3,0.68,-11,0.59,1
792586,0.73,-2,0.88,6,0.67,3
792020,0.87,6,0.68,-9,0.68,6
794791,0.7,8,0.53,-24,0.5,0
795852,0.89,1,0.84,-8,0.63,-10
796468,0.95,3,0.77,-11,0.73,2
797316,0.71,1,0.65,-9,0.59,7
797278,0.71,-19,0.67,-28,0.42,-39
798274,0.88,10,0.79,-5,0.5,-1
800465,0.79,8,0.79,17,0.68,11
801100,0.82,11,0.91,20,0.73,6
801178,0.85,13,0.73,1,0.58,17
690708,0.5,-31,0.46,-12,0.31,-17
803502,0.69,22,0.65,13,0.35,8
801577,0.86,-14,1.0,0,0.82,-6
680435,0.98,8,0.96,2,0.87,-3
806889,0.55,-4,0.32,-41,0.32,9
811041,0.84,-4,0.81,-2,0.72,-4
816396,0.85,0,0.81,2,0.5,-20
800007,0.81,-3,0.62,-17,0.59,-15
816906,0.9,23,0.9,19,0.53,3
818500,0.73,4,0.62,-18,0.57,-4
819883,0.94,2,0.94,2,0.82,3
819433,0.84,6,0.79,0,0.77,8
750298,0.82,2,0.71,-2,0.56,1
822639,0.59,-23,0.71,-4,0.35,-15
821365,0.74,10,0.48,-16,0.3,-13
823090,1.0,10,0.95,15,0.95,15
824950,0.54,-5,0.61,-15,0.25,-25
832308,0.89,-5,0.91,-3,0.63,-26
835536,0.75,26,0.73,8,0.57,11
836036,0.69,-3,0.71,-5,0.56,0
839256,0.65,8,0.42,-19,0.46,-2
843547,0.62,-20,0.58,-27,0.54,-18
845779,0.81,14,0.93,10,0.67,17
846473,0.83,6,0.83,11,0.58,11
847933,0.57,-13,0.6,-5,0.37,7
848751,0.77,-1,0.94,10,0.71,2
848930,0.95,8,0.8,-7,0.8,3
849286,0.84,3,0.74,-5,0.69,2
850071,0.85,-15,1.0,5,0.81,-5
850217,0.92,8,0.89,10,0.68,7
850365,0.73,-14,0.87,-3,0.5,-37
850403,0.89,-1,0.81,-8,0.65,-14
851000,0.88,10,0.78,-5,0.71,6
851299,0.64,-27,0.53,-24,0.47,-15
852651,0.67,-9,0.71,-17,0.71,1
856207,0.9,5,0.92,12,0.88,20
856673,0.91,-3,0.91,-3,0.78,-1
856959,0.79,3,0.55,-15,0.58,10
858420,0.75,-3,0.75,2,0.7,1
857165,0.88,-8,0.8,-9,0.76,-9
865362,0.84,-2,0.6,3,0.6,-2
683246,0.8,-2,0.7,-5,0.48,0
715030,0.85,-4,0.82,-7,0.68,-2
812896,0.63,-4,0.61,-11,0.29,-25
775797,0.86,-4,0.9,-7,0.62,-23
738857,0.89,4,0.89,0,0.83,0
684199,0.64,-15,0.58,-19,0.49,-11
783161,0.81,6,1.0,12,0.56,0
706631,0.74,-22,0.91,-5,0.65,-35
776175,0.9,12,0.86,1,0.61,-9
723967,0.9,-1,0.74,-19,0.38,-13
750557,0.84,-3,0.92,7,0.81,1
724106,0.76,-13,0.76,-18,0.76,-7
721020,0.84,5,0.85,6,0.61,1
688182,0.62,-7,0.52,-17,0.33,-14
733229,0.89,21,0.89,21,0.85,24
863785,1.0,22,1.0,22,0.94,42
843466,0.91,14,0.87,-7,0.57,-14
706418,0.79,6,0.61,-14,0.63,11
871140,0.76,7,0.71,12,0.5,2
706990,0.77,-12,0.79,-10,0.62,-9
710954,0.71,-4,0.76,-4,0.57,-18
845884,0.4,-10,0.57,-5,0.17,-2
764434,0.77,16,0.77,-1,0.55,12
771406,0.76,-15,0.68,-23,0.64,-15
777242,0.76,-2,0.63,-15,0.4,-14
762083,0.96,18,0.96,9,0.87,-4
691259,0.93,17,0.86,5,0.76,2
781282,0.62,-27,0.75,-17,0.56,-22
784133,0.62,-4,0.59,3,0.66,1
789178,0.65,-10,0.66,-18,0.6,-4
791806,0.79,-21,0.63,-31,0.47,-31
796352,0.67,11,0.87,18,0.53,-16
798258,0.9,21,0.9,21,0.41,-21
798460,0.57,-20,0.62,-29,0.42,-17
803057,0.78,-11,0.8,-7,0.6,-19
806972,0.8,-3,0.9,11,0.62,-20
724084,0.89,9,0.89,12,0.72,12
