schoolID,phoneNum,name,type,level,language,boardID,city,postCode
530603,705-246-2618,St Joseph Island Central Public School,Public,Elementary,English,B28010,Richards Landing,P0R1J0
958050,,Superior Heights Collegiate and Vocational School,Public,Secondary,English,B28010,Sault Ste. Marie,P6B2C5
672610,705-945-7142,Superior Heights Community Education,Public,Elementary,English,B28010,Sault Ste Marie,P6B2C5
106913,705-945-7499,Superior Heights Intermediate School,Public,Elementary,English,B28010,Sault Ste. Marie,P6B2C5
548413,705-945-7138,Tarentorus Public School,Public,Elementary,English,B28010,Sault Ste Marie,P6B4M4
551660,705-842-2410,Thessalon Public School,Public,Elementary,English,B28010,Thessalon,P0R1L0
895270,705-356-2221,W C Eaket Secondary School,Public,Secondary,English,B28010,Blind River,P0R1B0
953148,705-945-7181,White Pines Collegiate and Vocational School,Public,Secondary,English,B28010,Sault Ste Marie,P6A5K9
144872,705-945-7181,White Pines Intermediate School,Public,Elementary,English,B28010,SAULT STE. MARIE,P6A5K9
765031,613-389-1891,Archbishop O'Sullivan Catholic School,Catholic,Elementary,English,B67202,Kingston,K7P1A3
827681,613-546-7555,Cathedrale Catholic School,Catholic,Elementary,English,B67202,Kingston,K7L1Y5
708011,613-962-7541,Georges Vanier Catholic School,Catholic,Elementary,English,B67202,Belleville,K8P2R8
715298,613-384-1919,Holy Cross Catholic Secondary School,Catholic,Secondary,English,B67202,Kingston,K7P2V9
717703,613-542-8611,Holy Name Catholic School,Catholic,Elementary,English,B67202,Kingston,K7L5H6
865257,613-396-2741,Holy Name of Mary Catholic School,Catholic,Elementary,English,B67202,Marysville,K0K2N0
719919,613-962-2305,Holy Rosary Catholic School,Catholic,Elementary,English,B67202,Belleville,K8P2T4
735523,613-354-9500,J J O'Neill Catholic School,Catholic,Elementary,English,B67202,Napanee,K7R2L4
724068,613-389-4388,John XXIII Catholic School,Catholic,Elementary,English,B67202,Kingston,K7M5Z9
728420,613-544-3361,Loyola Community Learning Centre,Catholic,Secondary,English,B67202,Kingston,K7M3E5
773875,613-384-8644,Mother Teresa Catholic School,Catholic,Elementary,English,B67202,Kingston,K7P2L6
835099,613-967-0404,Nicholson Catholic College,Catholic,Secondary,English,B67202,Belleville,K8N3C7
742279,613-962-2162,Our Lady of Fatima Catholic School,Catholic,Elementary,English,B67202,Belleville,K8P3Z3
746568,613-389-2800,Our Lady of Lourdes Catholic School,Catholic,Elementary,English,B67202,Kingston,K7M4M9
746690,613-332-3300,Our Lady of Mercy Catholic School,Catholic,Elementary,English,B67202,Bancroft,K0L1C0
706264,613-389-1122,Our Lady of Mount Carmel Catholic School,Catholic,Elementary,English,B67202,Amherstview,K7N1L7
752932,613-545-1902,Regiopolis/Notre-Dame Catholic High School,Catholic,Secondary,English,B67202,Kingston,K7K2E9
756830,613-472-2625,Sacred Heart Catholic School,Catholic,Elementary,English,B67202,Marmora,K0K2M0
764370,613-398-6393,Sacred Heart Catholic School,Catholic,Elementary,English,B67202,Batawa,K0K1E0
868370,613-385-2348,Sacred Heart Catholic School,Catholic,Elementary,English,B67202,Wolfe Island,K0H2Y0
781142,613-478-2601,St Carthagh Catholic School,Catholic,Elementary,English,B67202,Tweed,K0K3J0
756642,613-546-5981,St Francis of Assisi Catholic School,Catholic,Elementary,English,B67202,Kingston,K7K5B5
796220,613-476-2461,St Gregory Catholic School,Catholic,Elementary,English,B67202,Picton,K0K2T0
799556,613-279-3300,St James Major,Catholic,Elementary,English,B67202,Sharbot Lake,K0H2P0
815330,613-962-3653,St Joseph Catholic School,Catholic,Elementary,English,B67202,Belleville,K8N1P7
695602,613-542-4352,St Joseph School,Catholic,Elementary,English,B67202,Kingston,K7L1V7
830984,613-549-4499,St Marguerite Bourgeoys Catholic School,Catholic,Elementary,English,B67202,Kingston,K7M8P5
823570,613-544-4050,St Martha Catholic School,Catholic,Elementary,English,B67202,Kingston,K7K7C2
824330,613-637-2720,St Martin of Tours Catholic School,Catholic,Elementary,English,B67202,Whitney,K0J2M0
831840,613-392-3538,St Mary Catholic School,Catholic,Elementary,English,B67202,Trenton,K8V3A2
865125,613-396-5430,St Mary Catholic School,Catholic,Elementary,English,B67202,Shannonville,K0K3A0
834688,613-968-5765,St Michael Catholic School,Catholic,Elementary,English,B67202,Belleville,K8N3C7
764248,613-379-2991,St Patrick Catholic School,Catholic,Elementary,English,B67202,Erinsville,K0K2A0
841773,613-372-2251,St Patrick Catholic School,Catholic,Elementary,English,B67202,Harrowsmith,K0H1V0
706744,613-394-4843,St Paul Catholic Elementary School,Catholic,Elementary,English,B67202,Trenton,K8V6M2
842761,613-542-6101,St Paul Catholic School,Catholic,Elementary,English,B67202,Kingston,K7M3H2
841358,613-394-4843,St Paul Catholic Secondary School,Catholic,Secondary,English,B67202,Trenton,K8V6M2
845493,613-392-6577,St Peter Catholic School,Catholic,Elementary,English,B67202,Trenton,K8V6M2
851752,613-968-6993,St Theresa Catholic Secondary School,Catholic,Secondary,English,B67202,Belleville,K8N5S1
856150,613-542-1575,St Thomas More Catholic School,Catholic,Elementary,English,B67202,Kingston,K7M2R4
19313,519-271-8576,Anne Hathaway Public School,Public,Elementary,English,B66010,Stratford,N5A4A2
893048,519-482-5428,Avon Maitland District E-learning Centre,Public,Secondary,English,B66010,Clinton,N0M1L0
28673,519-271-2905,Avon Public School,Public,Elementary,English,B66010,Stratford,N5A6N7
39306,519-273-1190,Bedford Public School,Public,Elementary,English,B66010,Stratford,N5A5J7
272319,519-262-2833,Bluewater Coast Elementary Public School,Public,Elementary,English,B66010,Hensall,N0M1X0
66699,519-529-7900,Brookside Public School,Public,Elementary,English,B66010,Lucknow,N0G2H0
899569,519-482-3471,Central Huron Secondary School,Public,Secondary,English,B66010,Clinton,N0M1L0
93718,519-393-5300,Central Perth Elementary School,Public,Elementary,English,B66010,Sebringville,N0K1X0
112917,519-482-9424,Clinton Public School,Public,Elementary,English,B66010,Clinton,N0M1L0
145912,519-393-6196,Downie Central Public School,Public,Elementary,English,B66010,St Pauls,N0K1V0
175170,519-356-2241,Elma Township Public School,Public,Elementary,English,B66010,Atwood,N0G1B0
190527,519-235-2630,Exeter Elementary School,Public,Elementary,English,B66010,Exeter,N0M1S1
953776,519-357-1800,F E Madill Secondary School,Public,Secondary,English,B66010,Wingham,N0G2W0
181908,519-357-1800,F. E. Madill Elementary,Public,Elementary,English,B66010,Wingham,N0G2W0
450242,519-524-7353,GDCI - Elementary,Public,Elementary,English,B66010,Goderich,N7A3M5
913600,519-524-7353,Goderich District Collegiate Institute,Public,Secondary,English,B66010,Goderich,N7A3M5
478133,519-524-8972,Goderich Public School,Public,Elementary,English,B66010,Goderich,N7A1Z1
242527,519-271-2826,Hamlet Public School,Public,Elementary,English,B66010,Stratford,N5A7N4
268003,519-335-3566,Howick Central Public School,Public,Elementary,English,B66010,Gorrie,N0G1X0
268640,519-523-4201,Hullett Central Public School,Public,Elementary,English,B66010,Londesborough,N0M2H0
273694,519-233-3330,Huron Centennial Public School,Public,Elementary,English,B66010,Brucefield,N0M1J0
923095,519-291-1880,Listowel District Secondary School,Public,Secondary,English,B66010,Listowel,N4W2M4
163619,519-291-2930,Listowel Eastdale Public School,Public,Elementary,English,B66010,Listowel,N4W2M3
285535,519-284-3615,Little Falls Public School,Public,Elementary,English,B66010,St Marys,N4X1B6
517103,519-357-3551,Maitland River Elementary Public School,Public,Elementary,English,B66010,Wingham,N0G2W0
366021,519-595-8859,Milverton Public School,Public,Elementary,English,B66010,Milverton,N0K1M0
135064,519-348-8495,Mitchell District Elementary Public School,Public,Elementary,English,B66010,Mitchell,N0K1N0
927120,519-348-8495,Mitchell District High School,Public,Secondary,English,B66010,Mitchell,N0K1N0
372781,519-595-8995,Mornington Central Public School,Public,Elementary,English,B66010,Newton,N0K1R0
406040,519-625-8398,North Easthope Public School,Public,Elementary,English,B66010,Stratford,N5A6S2
459441,519-291-6147,North Perth Westfield Elementary School,Public,Elementary,English,B66010,Listowel,N4W0G3
578519,519-887-6601,North Woods Elementary School,Public,Elementary,English,B66010,Ethel,N0G1T0
490040,519-271-4487,Romeo Public School,Public,Elementary,English,B66010,Stratford,N5A3P2
504475,519-527-0790,Seaforth Public School,Public,Elementary,English,B66010,Seaforth,N0K1W0
507725,519-271-3727,Shakespeare Public School,Public,Elementary,English,B66010,Stratford,N5A2B8
943118,519-235-0880,South Huron District High School,Public,Secondary,English,B66010,Exeter,N0M1S6
469900,519-235-0880,South Huron Elementary Public School,Public,Elementary,English,B66010,Exeter,N0M1S6
523267,519-229-8920,South Perth Centennial Public School,Public,Elementary,English,B66010,St Marys,N4X1C4
528650,519-625-8722,Sprucedale Public School,Public,Elementary,English,B66010,Shakespeare,N0B2P0
944807,519-284-1731,St Marys D.C. & V. I. High School,Public,Secondary,English,B66010,St Marys,N4X1B6
100438,519-284-1731,St Marys D.C. & V.I. - Elementary Elementary Public School,Public,Elementary,English,B66010,St. Marys,N4X1B6
535508,519-234-6302,Stephen Central Public School,Public,Elementary,English,B66010,Dashwood,N0M1N0
531073,519-271-4500,Stratford Central Public School,Public,Elementary,English,B66010,Stratford,N5A1A3
945587,519-271-4500,Stratford Central Secondary School,Public,Secondary,English,B66010,Stratford,N5A1A3
893395,519-271-9740,Stratford District Secondary School,Public,Secondary,English,B66010,Stratford,N5A6R7
97284,519-271-4500,Stratford Intermediate School,Public,Elementary,English,B66010,Stratford,N5A1A3
531090,519-271-9740,Stratford Northwestern Public School,Public,Elementary,English,B66010,Stratford,N5A6R7
945714,519-271-9740,Stratford Northwestern Secondary School,Public,Secondary,English,B66010,Stratford,N5A6R7
566667,519-348-8472,Upper Thames Elementary School,Public,Elementary,English,B66010,Mitchell,N0K1N0
417556,416-424-3831,Bloorview School Authority,Hospital,Elementary,English,B80012,Toronto,M4G1R8
10472,519-376-6306,Alexandra Community School,Public,Elementary,English,B66001,Owen Sound,N4K3B6
11606,519-422-3805,Amabel-Sauble Community School,Public,Elementary,English,B66001,Sauble Beach,N0H2G0
22322,519-934-2560,Arran Tara Elementary School,Public,Elementary,English,B66001,Tara,N0H2N0
552585,519-599-5991,Beaver Valley Community School,Public,Elementary,English,B66001,Thornbury,N0H2P0
340804,519-986-2990,Beavercrest Community School,Public,Elementary,English,B66001,Markdale,N0C1H0
67709,519-793-3211,Bruce Peninsula District School,Public,Elementary,English,B66001,Lion s Head,N0H1W0
896969,519-793-3211,Bruce Peninsula District School,Public,Secondary,English,B66001,Lion s Head,N0H1W0
169200,519-363-2344,Chesley District Community School,Public,Elementary,English,B66001,Chesley,N0G1L0
135143,519-364-1891,Dawnview Public School,Public,Elementary,English,B66001,Hanover,N4N2S8
458554,519-923-2622,Dundalk & Proton Community School,Public,Elementary,English,B66001,Dundalk,N0C1B0
331307,,East Ridge Community School,Public,Elementary,English,B66001,Owen Sound,N4K0A2
167649,519-334-3640,Egremont Community School,Public,Elementary,English,B66001,Holstein,N0G2A0
293776,519-396-8115,Elgin Market Public School,Public,Elementary,English,B66001,Kincardine,N2Z2R6
524239,519-797-3241,G C Huston Public School,Public,Elementary,English,B66001,Southampton,N0H2L0
180789,519-538-1680,Georgian Bay Community School,Public,Elementary,English,B66001,Meaford,N4L1A4
925438,519-538-1680,Georgian Bay Community School Secondary School,Public,Secondary,English,B66001,Meaford,N4L1A4
914444,519-924-2721,Grey Highlands Secondary School,Public,Secondary,English,B66001,Flesherton,N0C1E0
281131,519-364-2910,Hanover Heights Community School,Public,Elementary,English,B66001,Hanover,N4N1Y4
253316,519-935-2061,Hepworth Central Public School,Public,Elementary,English,B66001,Hepworth,N0H1P0
152820,519-923-2336,Highpoint Community Elementary School,Public,Elementary,English,B66001,Dundalk,N0C1B0
257168,519-392-6811,Hillcrest Central School,Public,Elementary,English,B66001,Teeswater,N0G2S0
257869,519-376-1771,Hillcrest Elementary School,Public,Elementary,English,B66001,Owen Sound,N4K3M8
262935,519-794-2729,Holland-Chatsworth Central School,Public,Elementary,English,B66001,Holland Centre,N0H1R0
273775,519-396-7035,Huron Heights Public School,Public,Elementary,English,B66001,Kincardine,N2Z1S7
7681,,John Diefenbaker Senior School,Public,Elementary,English,B66001,Hanover,N4N1G7
915556,519-364-3770,John Diefenbaker Senior School,Public,Secondary,English,B66001,Hanover,N4N1G7
291030,519-376-1789,Keppel-Sarawak Elementary School,Public,Elementary,English,B66001,Owen Sound,N4K5N4
919454,519-396-9151,Kincardine District Secondary School,Public,Secondary,English,B66001,Kincardine,N2Z2B9
151668,519-396-9151,Kincardine District Senior School,Public,Elementary,English,B66001,Kincardine,N2Z2B9
293750,519-396-3371,Kincardine Township-Tiverton Public School,Public,Elementary,English,B66001,Kincardine,N2Z2X4
323900,519-528-3022,Lucknow Central Public School,Public,Elementary,English,B66001,Lucknow,N0G2H0
198978,519-924-2752,Macphail Memorial Elementary School,Public,Elementary,English,B66001,Flesherton,N0C1E0
364290,519-367-5548,Mildmay-Carrick Central School,Public,Elementary,English,B66001,Mildmay,N0G2J0
401129,519-665-7783,Normanby Community School,Public,Elementary,English,B66001,Ayton,N0G1C0
403741,519-832-9077,Northport Elementary School,Public,Elementary,English,B66001,Port Elgin,N0H2C2
93939,519-922-2341,Osprey Central School,Public,Elementary,English,B66001,Maxwell,N0C1J0
951692,519-376-6050,Owen Sound District Secondary School Secondary School,Public,Secondary,English,B66001,Owen Sound,N4K3P6
431028,519-353-5691,Paisley Central School,Public,Elementary,English,B66001,Paisley,N0G2N0
605743,519-534-2205,Peninsula Shores District School,Public,Elementary,English,B66001,Wiarton,N0H2T0
953253,519-534-2205,Peninsula Shores District School,Public,Secondary,English,B66001,Wiarton,N0H2T0
450910,519-832-2038,Port Elgin-Saugeen Central School,Public,Elementary,English,B66001,Port Elgin,N0H2C1
484970,519-395-2651,Ripley-Huron Community - Junior Campus School,Public,Elementary,English,B66001,Ripley,N0G2R0
940127,519-832-2091,Saugeen District Secondary School,Public,Secondary,English,B66001,Port Elgin,N0H2C4
290604,,Saugeen District Senior School,Public,Elementary,English,B66001,Port Elgin,N0H2C4
155683,519-369-2217,Spruce Ridge Community School,Public,Elementary,English,B66001,Durham,N0G1R0
529826,519-596-2390,St Edmunds Public School,Public,Elementary,English,B66001,Tobermory,N0H2R0
531146,519-538-1950,St Vincent-Euphrasia Elementary School,Public,Elementary,English,B66001,Meaford,N4L1C6
540200,519-794-2785,Sullivan Community School,Public,Elementary,English,B66001,Chatsworth,N0H1G0
569565,519-881-1780,Walkerton District Community School,Public,Elementary,English,B66001,Walkerton,N0G2V0
950262,519-881-1780,Walkerton District Community School,Public,Secondary,English,B66001,Walkerton,N0G2V0
688088,519-751-2030,Assumption College School High School,Catholic,Secondary,English,B67164,Brantford,N3T0M7
690015,519-449-2984,Blessed Sacrament School,Catholic,Elementary,English,B67164,Burford,N0E1A0
696900,519-759-4211,Christ the King School,Catholic,Elementary,English,B67164,Brantford,N3T4R4
714453,519-756-5032,Holy Cross School,Catholic,Elementary,English,B67164,Brantford,N3S4V1
716960,519-442-5333,Holy Family School,Catholic,Elementary,English,B67164,Paris,N3L3W4
720232,519-429-3600,Holy Trinity Catholic High School,Catholic,Secondary,English,B67164,Simcoe,N3Y4N5
750259,519-753-5283,Madonna Della Libera Catholic Elementary School,Catholic,Elementary,English,B67164,BRANTFORD,N3S1E7
736481,905-765-0649,Notre Dame Catholic Catholic Elementary School,Catholic,Elementary,English,B67164,Caledonia,N3W2M5
739200,519-756-2288,Notre Dame School,Catholic,Elementary,English,B67164,Brantford,N3P1N9
743968,519-688-0049,Our Lady of Fatima School,Catholic,Elementary,English,B67164,Courtland,N0J1E0
749125,519-758-5056,Our Lady of Providence Catholic Elementary School,Catholic,Elementary,English,B67164,Brantford,N3R7X8
753084,519-752-5900,Resurrection School,Catholic,Elementary,English,B67164,Brantford,N3R6L4
762756,519-442-4443,Sacred Heart Catholic Elementary School,Catholic,Elementary,English,B67164,PARIS,N3L0A9
759309,519-875-2556,Sacred Heart School,Catholic,Elementary,English,B67164,Langton,N0E1G0
751898,519-759-2318,St John's College,Catholic,Secondary,English,B67164,Brantford,N3R1H9
704940,519-752-4111,St. Basil Catholic Elementary School,Catholic,Elementary,English,B67164,Brantford,N3T0G5
779067,519-443-8607,St. Bernard of Clairvaux School,Catholic,Elementary,English,B67164,Waterford,N0E1Y0
782050,519-583-0231,St. Cecilia's School,Catholic,Elementary,English,B67164,Port Dover,N0A1N5
789984,519-582-2470,St. Frances Cabrini School,Catholic,Elementary,English,B67164,Delhi,N4B2R4
793256,519-756-4706,St. Gabriel Catholic Catholic Elementary School,Catholic,Elementary,English,B67164,Brantford,N3T6M2
810827,519-426-0820,St. Joseph's School,Catholic,Elementary,English,B67164,Simcoe,N3Y2S8
818453,519-759-3314,St. Leo School,Catholic,Elementary,English,B67164,Brantford,N3R5T2
706139,519-753-0552,St. Mary Catholic Learning Centre,Catholic,Secondary,English,B67164,Brantford,N3S3N8
852434,519-753-0552,St. Mary Catholic Learning Centre Day,Catholic,Secondary,English,B67164,Brantford,N3S3N8
831450,905-768-5151,St. Mary's School,Catholic,Elementary,English,B67164,Hagersville,N0A1H0
834831,519-426-5462,St. Michael's C School,Catholic,Elementary,English,B67164,SIMCOE,N3Y4K1
834963,905-774-6052,St. Michael's School,Catholic,Elementary,English,B67164,Dunnville,N1A1R3
840530,519-759-0380,St. Patrick School,Catholic,Elementary,English,B67164,Brantford,N3R2X6
840556,905-765-4626,St. Patrick's School,Catholic,Elementary,English,B67164,Caledonia,N3W1L3
844977,519-752-1611,St. Peter School,Catholic,Elementary,English,B67164,Brantford,N3S3H1
846791,519-753-6422,St. Pius X Catholic Elementary School,Catholic,Elementary,English,B67164,Brantford,N3R2L4
850950,905-772-3863,St. Stephen's School,Catholic,Elementary,English,B67164,Cayuga,N0A1E0
853038,519-753-8953,St. Theresa School,Catholic,Elementary,English,B67164,Brantford,N3T0M5
721255,519-367-2900,Ecole Immaculee-Conception Separate School,Catholic,Elementary,English,B67008,Formosa,N0G1W0
711985,519-364-2760,Holy Family Separate School,Catholic,Elementary,English,B67008,Hanover,N4N2N5
710296,519-366-2731,Mary Immaculate Community School,Catholic,Elementary,English,B67008,Chepstow,N0G1K0
737399,519-371-0161,Notre Dame Catholic School,Catholic,Elementary,English,B67008,Owen Sound,N4K6X6
759430,519-881-1900,Sacred Heart High School,Catholic,Secondary,English,B67008,Walkerton,N0G2V0
732133,519-367-2685,Sacred Heart School,Catholic,Elementary,English,B67008,Mildmay,N0G2J0
864218,519-392-6854,Sacred Heart Separate School,Catholic,Elementary,English,B67008,Teeswater,N0G2S0
774332,519-396-4330,St Anthony's Separate School,Catholic,Elementary,English,B67008,Kincardine,N2Z1R1
776602,519-376-9370,St Basil's Separate School,Catholic,Elementary,English,B67008,Owen Sound,N4K4N8
751464,519-389-5495,St Joseph's School,Catholic,Elementary,English,B67008,PORT ELGIN,N0H2C1
776599,519-376-4278,St Mary's High School,Catholic,Secondary,English,B67008,Owen Sound,N4K1X2
705098,519-369-2932,St Peter's & St Paul's Separate School,Catholic,Elementary,English,B67008,Durham,N0G1R0
732800,519-881-1852,St Teresa of Calcutta Catholic School,Catholic,Elementary,English,B67008,Walkerton,N0G2V0
689610,613-933-6739,Bishop Macdonell Separate School,Catholic,Elementary,English,B67172,Cornwall,K6H3S6
715131,613-258-7457,Holy Cross School,Catholic,Elementary,English,B67172,Kemptville,K0G1J0
828203,613-256-2532,Holy Name of Mary Separate School,Catholic,Elementary,English,B67172,Almonte,K0A1A0
821553,613-936-0319,Holy Trinity Catholic Elementary School,Catholic,Elementary,English,B67172,Cornwall,K6H5R5
715190,613-936-0319,Holy Trinity Catholic Secondary School,Catholic,Secondary,English,B67172,Cornwall,K6H5R5
696269,613-347-3518,Iona Academy,Catholic,Elementary,English,B67172,Williamstown,K0C2J0
691127,613-342-7711,J L Jordan Separate School,Catholic,Elementary,English,B67172,Brockville,K6V3B7
753670,613-445-3788,Mother Teresa Catholic School,Catholic,Elementary,English,B67172,Russell,K4R1G7
736457,613-253-4700,Notre Dame Catholic High School,Catholic,Secondary,English,B67172,Carleton Place,K7C4P2
697630,613-253-4700,Notre Dame Catholic Separate School,Catholic,Elementary,English,B67172,Carleton Place,K7C4P2
741361,613-537-2556,Our Lady of Good Counsel Separate School,Catholic,Elementary,English,B67172,Ingleside,K0C1M0
750646,613-487-3075,Pope John Paul II Regional Elementary School,Catholic,Elementary,English,B67172,Hammond,K0A2A0
759040,613-933-3337,Sacred Heart School,Catholic,Elementary,English,B67172,Cornwall,K6J5V9
758787,613-259-2113,Sacred Heart of Jesus Separate School,Catholic,Elementary,English,B67172,Lanark,K0G1K0
769312,613-932-6592,St Andrew's Separate School,Catholic,Elementary,English,B67172,St. Andrew's West,K0C2A0
771651,613-933-4615,St Anne's School,Catholic,Elementary,English,B67172,Cornwall,K6J2H5
788686,613-273-2926,St Edward's School,Catholic,Elementary,English,B67172,Westport,K0G1X0
806102,613-525-4274,St Finnan's Catholic School,Catholic,Elementary,English,B67172,Alexandria,K0C1A0
751502,613-487-2913,St Francis Xavier Catholic High School,Catholic,Secondary,English,B67172,Hammond,K0A2A0
792365,613-487-2913,St Francis Xavier Elementary School,Catholic,Elementary,English,B67172,Hammond,K0A2A0
792322,613-342-0510,St Francis Xavier Separate School,Catholic,Elementary,English,B67172,Brockville,K6V3X6
791938,613-283-6101,St Francis de Sales Separate School,Catholic,Elementary,English,B67172,Smiths Falls,K7A4L5
803022,613-498-0656,St John Bosco Catholic School,Catholic,Elementary,English,B67172,Brockville,K6V7A4
804800,613-267-4724,St John Catholic High School,Catholic,Secondary,English,B67172,Perth Road,K7H3C5
802700,613-267-2865,St John Elementary School,Catholic,Elementary,English,B67172,Perth,K7H1L6
806277,613-932-0349,St Joseph's Secondary School,Catholic,Secondary,English,B67172,Cornwall,K6J5V9
725374,613-275-2353,St Joseph's Separate School,Catholic,Elementary,English,B67172,Toledo,K0E1Y0
813907,613-382-2361,St Joseph's Separate School,Catholic,Elementary,English,B67172,Gananoque,K7G1M9
736201,613-678-5455,St Jude's Catholic Elementary School,Catholic,Elementary,English,B67172,Vankleek Hill,K0B1R0
824593,613-342-4911,St Mary's High School,Catholic,Secondary,English,B67172,Brockville,K6V4N5
828726,613-342-4911,St Mary's Separate School,Catholic,Elementary,English,B67172,Brockville,K6V4N5
828874,613-257-1538,St Mary's Separate School,Catholic,Elementary,English,B67172,Carleton Place,K7C3A9
828980,613-448-2158,St Mary's Separate School,Catholic,Elementary,English,B67172,Chesterville,K0C1H0
830283,613-543-2907,St Mary-St Cecilia Catholic School,Catholic,Elementary,English,B67172,Morrisburg,K0C1X0
726176,613-930-9928,St Matthew Catholic Secondary School,Catholic,Secondary,English,B67172,Cornwall,K6H4B4
832502,613-258-7232,St Michael Elementary School,Catholic,Elementary,English,B67172,Kemptville,K0G1J0
832480,613-258-7232,St Michael High School,Catholic,Secondary,English,B67172,Kemptville,K0G1J0
753602,613-446-7215,St Patrick Catholic Elementary School,Catholic,Elementary,English,B67172,Rockland,K4K1R2
844713,613-933-1007,St Peter's School,Catholic,Elementary,English,B67172,Cornwall,K6H6P1
773450,613-257-8468,St. Gregory Catholic School,Catholic,Elementary,English,B67172,Carleton Place,K7C3P7
745698,613-284-2613,St. James Catholic Education Centre High School,Catholic,Secondary,English,B67172,Smiths Falls,K7A2J8
741782,613-284-2613,St. James Intermediate,Catholic,Elementary,English,B67172,Smiths Falls,K7A2J4
680764,613-267-4724,St. John Intermediate School,Catholic,Elementary,English,B67172,Perth,K7H3C5
767431,613-932-0349,St. Joseph Intermediate Catholic School,Catholic,Elementary,English,B67172,Cornwall,K6J5V9
803065,613-283-4477,St. Luke Catholic High School,Catholic,Secondary,English,B67172,Kemptville,K0G1J0
818968,613-283-4477,St. Luke Catholic School,Catholic,Elementary,English,B67172,Kemptville,K0G1J0
